latitude,longitude,start_timestamp,end_timestamp
55.7821702,12.5118897,2023-06-21T17:52:26.741Z,2023-06-21T21:50:39.021Z
55.7821702,12.5118897,2023-06-21T22:39:58.812Z,2023-06-22T11:31:36.584Z
55.7855742,12.521381,2023-06-22T11:44:36.554Z,2023-06-22T11:55:02.502Z
55.7821702,12.5118897,2023-06-22T12:08:51.097Z,2023-06-22T12:47:44.374Z
55.7855742,12.521381,2023-06-22T12:51:52.213Z,2023-06-22T20:11:39.188Z
55.7821702,12.5118897,2023-06-22T20:15:46.924Z,2023-06-23T08:33:01.919Z
55.7963799,12.5357485,2023-06-23T09:04:47.249Z,2023-06-23T09:55:07.611Z
55.7829162,12.5238415,2023-06-23T10:06:39.062Z,2023-06-23T10:17:15.292Z
55.7821702,12.5118897,2023-06-23T10:27:20.632Z,2023-06-23T11:27:21.648Z
55.7855742,12.521381,2023-06-23T11:37:44.899Z,2023-06-23T11:51:52.887Z
55.7821702,12.5118897,2023-06-23T12:02:07.740Z,2023-06-23T16:32:04.838Z
55.7752207,12.5777714,2023-06-23T17:21:19.993Z,2023-06-23T19:14:41.330Z
55.7821702,12.5118897,2023-06-23T20:14:58.279Z,2023-06-24T07:21:59.638Z
55.7999324,12.4530473,2023-06-24T07:52:28.857Z,2023-06-24T09:02:36.835Z
55.6256862,12.0462603,2023-06-24T09:47:07.428Z,2023-06-24T10:03:06.902Z
55.7999324,12.4530473,2023-06-24T10:54:46.080Z,2023-06-24T16:01:21.666Z
55.7959679,12.4738921,2023-06-24T16:05:39.496Z,2023-06-24T16:27:56.681Z
55.7999324,12.4530473,2023-06-24T16:33:10.560Z,2023-06-24T19:27:22.366Z
55.7821702,12.5118897,2023-06-24T19:39:10.366Z,2023-06-26T12:41:54.950Z
55.7829162,12.5238415,2023-06-26T12:53:31.200Z,2023-06-26T12:59:33.822Z
55.7821702,12.5118897,2023-06-26T13:11:33.966Z,2023-06-26T15:33:08.826Z
55.7829162,12.5238415,2023-06-26T15:40:26.671Z,2023-06-26T15:54:32.076Z
55.7821702,12.5118897,2023-06-26T15:59:07.864Z,2023-06-27T11:28:29.236Z
55.7999324,12.4530473,2023-06-27T12:41:31.226Z,2023-06-27T14:00:36.987Z
55.7821702,12.5118897,2023-06-27T14:13:15.141Z,2023-06-27T18:33:27.224Z
55.7821702,12.5118897,2023-06-27T18:47:56.737Z,2023-06-27T20:19:44.737Z
55.7821702,12.5118897,2023-06-27T20:46:08.861Z,2023-06-28T12:59:13.936Z
55.7855742,12.521381,2023-06-28T13:07:18.742Z,2023-06-28T13:25:48.333Z
55.7787865,12.5923924,2023-06-28T13:55:12.470Z,2023-06-28T14:38:36.484Z
55.7821702,12.5118897,2023-06-28T15:08:34.231Z,2023-06-29T06:58:34.915Z
55.7811338,12.5130479,2023-06-29T06:59:55.036Z,2023-06-29T07:05:27.154Z
55.7393167,12.4869076,2023-06-29T07:41:18.660Z,2023-06-29T08:14:40.694Z
55.7385277,12.4744885,2023-06-29T08:23:08.680Z,2023-06-29T08:40:41.894Z
55.7855742,12.521381,2023-06-29T09:13:00.212Z,2023-06-29T10:35:25.903Z
55.7821702,12.5118897,2023-06-29T10:46:46.569Z,2023-06-29T14:08:56.917Z
55.7855742,12.521381,2023-06-29T14:19:05.632Z,2023-06-29T15:02:58.389Z
55.7821702,12.5118897,2023-06-29T15:15:26.438Z,2023-06-29T19:01:47.915Z
55.7821702,12.5118897,2023-06-29T19:27:23.271Z,2023-06-30T09:17:45.448Z
55.7855742,12.521381,2023-06-30T09:32:31.701Z,2023-06-30T15:27:18.156Z
55.7821702,12.5118897,2023-06-30T15:29:23.176Z,2023-06-30T17:30:30.872Z
55.7752207,12.5777714,2023-06-30T17:44:50.837Z,2023-06-30T19:17:11.198Z
55.7821702,12.5118897,2023-06-30T19:46:37.496Z,2023-07-01T13:26:54.046Z
